 13112 function calls (12920 primitive calls) in 0.811 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
       12    0.000    0.000    0.021    0.002 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(isclose)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(min_scalar_type)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.002    0.002 <__array_function__ internals>:2(repeat)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sort)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(vstack)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(zeros_like)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.015    0.015    0.811    0.811 <ipython-input-66-e1ec9d3931c3>:3(ds)
        1    0.001    0.001    0.811    0.811 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 <string>:1(__new__)
       40    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
        8    0.000    0.000    0.000    0.000 _asarray.py:223(require)
        8    0.000    0.000    0.000    0.000 _asarray.py:300(<setcomp>)
       12    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
       56    0.000    0.000    0.000    0.000 _dtype.py:319(_name_includes_bit_suffix)
       56    0.000    0.000    0.001    0.000 _dtype.py:333(_name_get)
       56    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
       14    0.000    0.000    0.000    0.000 _dtype.py:46(__str__)
       14    0.000    0.000    0.000    0.000 _internal.py:830(npy_ctypes_check)
       19    0.000    0.000    0.001    0.000 _methods.py:44(_any)
        5    0.000    0.000    0.000    0.000 _methods.py:47(_all)
        1    0.000    0.000    0.000    0.000 _ranges.py:15(generate_regular_range)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:437(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:441(__enter__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:446(__exit__)
        6    0.000    0.000    0.000    0.000 _validators.py:207(validate_bool_kwarg)
       78    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
        5    0.000    0.000    0.000    0.000 accessor.py:84(_getter)
        9    0.000    0.000    0.000    0.000 algorithms.py:1436(_get_take_nd_function)
        4    0.000    0.000    0.005    0.001 algorithms.py:1472(take)
        9    0.001    0.000    0.044    0.005 algorithms.py:1565(take_nd)
        1    0.000    0.000    0.000    0.000 base.py:1026(__iter__)
       11    0.000    0.000    0.000    0.000 base.py:1182(name)
       10    0.000    0.000    0.000    0.000 base.py:1186(name)
        4    0.000    0.000    0.001    0.000 base.py:1581(is_monotonic)
        5    0.002    0.000    0.002    0.000 base.py:1588(is_monotonic_increasing)
        2    0.045    0.023    0.045    0.023 base.py:1656(is_unique)
        1    0.000    0.000    0.000    0.000 base.py:1667(is_boolean)
        2    0.000    0.000    0.000    0.000 base.py:1730(inferred_type)
        3    0.000    0.000    0.000    0.000 base.py:1737(is_all_dates)
       20    0.000    0.000    0.000    0.000 base.py:194(construct_from_string)
        1    0.000    0.000    0.000    0.000 base.py:203(_obj_with_exclusions)
      258    0.000    0.000    0.001    0.000 base.py:247(is_dtype)
        1    0.000    0.000    0.016    0.016 base.py:254(_try_aggregate_string_function)
        1    0.000    0.000    0.000    0.000 base.py:2706(get_indexer)
     12/6    0.000    0.000    0.002    0.000 base.py:276(__new__)
        1    0.000    0.000    0.016    0.016 base.py:285(_aggregate)
        1    0.000    0.000    0.000    0.000 base.py:3084(_can_reindex)
        1    0.000    0.000    0.000    0.000 base.py:3101(reindex)
       15    0.000    0.000    0.000    0.000 base.py:3639(values)
        3    0.000    0.000    0.000    0.000 base.py:3671(_values)
        6    0.000    0.000    0.000    0.000 base.py:3701(_internal_get_values)
        6    0.000    0.000    0.000    0.000 base.py:3912(__getitem__)
        3    0.000    0.000    0.000    0.000 base.py:4047(equals)
        1    0.000    0.000    0.000    0.000 base.py:4077(identical)
        2    0.000    0.000    0.000    0.000 base.py:429(<genexpr>)
        2    0.000    0.000    0.004    0.002 base.py:4321(argsort)
        1    0.000    0.000    0.000    0.000 base.py:4506(_maybe_promote)
        6    0.000    0.000    0.000    0.000 base.py:472(_simple_new)
        2    0.000    0.000    0.000    0.000 base.py:505(_get_attributes_dict)
        2    0.000    0.000    0.000    0.000 base.py:509(<dictcomp>)
        1    0.000    0.000    0.000    0.000 base.py:5253(ensure_index_from_sequences)
        2    0.000    0.000    0.000    0.000 base.py:526(_shallow_copy)
       25    0.000    0.000    0.002    0.000 base.py:5294(ensure_index)
        1    0.000    0.000    0.000    0.000 base.py:5361(_ensure_has_len)
       37    0.000    0.000    0.000    0.000 base.py:5394(maybe_extract_name)
        4    0.000    0.000    0.000    0.000 base.py:5410(_maybe_cast_with_dtype)
        4    0.000    0.000    0.000    0.000 base.py:5464(_maybe_cast_data_without_dtype)
        1    0.000    0.000    0.000    0.000 base.py:558(_get_cython_func)
        3    0.000    0.000    0.000    0.000 base.py:573(is_)
